# wavelength, Lum, Lum_error
3676.0163, 4.188458829e+25, 1.725740046e+24
3676.0776, 4.200720817e+25, 1.725604679e+24
3676.1389, 4.212983008e+25, 1.725469659e+24
3676.2002, 4.225245405e+25, 1.725334987e+24
3676.2615, 4.221190806e+25, 1.722832759e+24
3676.3228, 4.214965124e+25, 1.720015912e+24
3676.3841, 4.208739338e+25, 1.717199501e+24
3676.4455, 4.202513449e+25, 1.714383528e+24
3676.5068, 4.196287455e+25, 1.711567996e+24
3676.5681, 4.190061358e+25, 1.708752907e+24
3676.6294, 4.183835156e+25, 1.705938265e+24
3676.6907, 4.177608851e+25, 1.703124070e+24
3676.7521, 4.171382442e+25, 1.700310326e+24
3676.8134, 4.165155930e+25, 1.697497035e+24
3676.8747, 4.158929313e+25, 1.694684200e+24
3676.9360, 4.152702593e+25, 1.691871823e+24
3676.9973, 4.146475768e+25, 1.689059907e+24
3677.0587, 4.141367164e+25, 1.686405634e+24
3677.1200, 4.149504991e+25, 1.685613751e+24
3677.1813, 4.157642954e+25, 1.684822595e+24
3677.2427, 4.165781052e+25, 1.684032169e+24
3677.3040, 4.173919286e+25, 1.683242474e+24
3677.3653, 4.182057657e+25, 1.682453509e+24
3677.4267, 4.190196162e+25, 1.681665278e+24
3677.4880, 4.198334804e+25, 1.680877779e+24
3677.5493, 4.206473581e+25, 1.680091016e+24
3677.6107, 4.214612494e+25, 1.679304988e+24
3677.6720, 4.222751543e+25, 1.678519698e+24
3677.7333, 4.230890727e+25, 1.677735145e+24
3677.7947, 4.239030047e+25, 1.676951331e+24
3677.8560, 4.247169503e+25, 1.676168257e+24
3677.9173, 4.247879376e+25, 1.674211128e+24
3677.9787, 4.228645011e+25, 1.669103577e+24
3678.0400, 4.209410325e+25, 1.664000613e+24
3678.1014, 4.190175319e+25, 1.658902278e+24
3678.1627, 4.170939992e+25, 1.653808616e+24
3678.2241, 4.151704343e+25, 1.648719671e+24
3678.2854, 4.132468374e+25, 1.643635489e+24
3678.3468, 4.113232085e+25, 1.638556114e+24
3678.4081, 4.093995474e+25, 1.633481592e+24
3678.4695, 4.074758543e+25, 1.628411971e+24
3678.5308, 4.055521290e+25, 1.623347296e+24
3678.5922, 4.036283717e+25, 1.618287616e+24
3678.6535, 4.017045823e+25, 1.613232978e+24
3678.7149, 3.997807608e+25, 1.608183431e+24
3678.7762, 3.978520369e+25, 1.603511674e+24
3678.8376, 3.959176751e+25, 1.599275509e+24
3678.8989, 3.939832810e+25, 1.595046613e+24
3678.9603, 3.920488546e+25, 1.590825046e+24
3679.0217, 3.901143960e+25, 1.586610867e+24
3679.0830, 3.881799051e+25, 1.582404136e+24
3679.1444, 3.862453820e+25, 1.578204913e+24
3679.2057, 3.843108266e+25, 1.574013259e+24
3679.2671, 3.823762389e+25, 1.569829236e+24
3679.3285, 3.804416190e+25, 1.565652907e+24
3679.3898, 3.785069667e+25, 1.561484333e+24
3679.4512, 3.765722823e+25, 1.557323578e+24
3679.5126, 3.746375655e+25, 1.553170706e+24
3679.5739, 3.727028165e+25, 1.549025781e+24
3679.6353, 3.716887906e+25, 1.546509671e+24
3679.6967, 3.711492202e+25, 1.544830328e+24
3679.7580, 3.706096409e+25, 1.543151222e+24
3679.8194, 3.700700525e+25, 1.541472354e+24
3679.8808, 3.695304552e+25, 1.539793725e+24
3679.9422, 3.689908488e+25, 1.538115335e+24
3680.0035, 3.684512335e+25, 1.536437185e+24
3680.0649, 3.679116092e+25, 1.534759276e+24
3680.1263, 3.673719758e+25, 1.533081609e+24
3680.1877, 3.668323335e+25, 1.531404185e+24
