# wavelength, Lumniosty[W/AA], Error
3.807150099999999838e+03,4.087198684391246397e+20,5.390198279810401894e+19
3.808026800000000094e+03,3.308812842388609434e+20,5.057264035011518464e+19
3.808903800000000047e+03,2.811026400824300012e+20,5.071806788609363149e+19
3.809780900000000202e+03,3.317441782544501965e+20,5.166026411125112013e+19
3.810658199999999852e+03,4.256024644246498181e+20,5.441534076711472333e+19
3.811535800000000108e+03,5.086691766085471437e+20,5.530713126189186253e+19
3.812413500000000113e+03,4.770377706930269061e+20,5.475496842092285952e+19
3.813291499999999814e+03,4.863111959838370693e+20,5.392014300506531430e+19
3.814169600000000173e+03,4.573871699360195543e+20,5.194261411448510054e+19
3.815047900000000027e+03,3.335078151967632916e+20,5.562278549634986803e+19
3.815926500000000033e+03,2.976205962038314926e+20,5.214346350748631859e+19
3.816805199999999786e+03,2.095251281359603958e+20,5.044328754320498688e+19
3.817684200000000146e+03,2.765168698343356826e+20,5.198513868695582310e+19
3.818563400000000001e+03,3.411905828249440748e+20,5.383155007980226150e+19
3.819442700000000059e+03,3.154172646705761485e+20,5.299425204101110989e+19
3.820322299999999814e+03,2.501697644724896727e+20,4.964890606219271373e+19
3.821202000000000226e+03,1.810649773029533286e+20,4.597379164985257984e+19
3.822081999999999880e+03,1.913947758577654825e+20,4.805193991128395776e+19
3.822962199999999939e+03,2.413409829686519071e+20,5.045088436919413146e+19
3.823842500000000200e+03,2.715346515971826647e+20,5.226117963802117734e+19
3.824723100000000159e+03,2.887126976590802125e+20,4.508060975708280422e+19
3.825603900000000067e+03,2.890872701170134221e+20,4.236146630339852698e+19
3.826484899999999925e+03,1.503362824194079457e+20,3.893027911857172480e+19
3.827365999999999985e+03,1.924893345188309565e+20,3.899157067811126477e+19
3.828247400000000198e+03,2.027145628310228828e+20,3.976844879461028659e+19
3.829128999999999905e+03,1.813544239956397261e+20,4.045499378579306086e+19
3.830010800000000017e+03,2.579832668618062234e+20,4.343156181178392576e+19
3.830892800000000079e+03,4.101634493661634232e+20,4.614137654804644659e+19
3.831775000000000091e+03,3.246155643272373862e+20,4.507688123650265907e+19
3.832657400000000052e+03,2.623888292232955494e+20,4.302694130709413069e+19
3.833539999999999964e+03,2.872454921560750490e+20,4.222171095123567411e+19
